Report Name: Log Report
Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),Connection Time (ms),SSL Handshake Time (ms),First Byte Time (ms),Download Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
172.96.165.98,October 10 2024 3:08:46 AM EDT,New York - US,Up,200,17,2,10,175,13,217,638011,104.18.16.112,-
66.165.253.194,October 10 2024 3:03:44 AM EDT,New York - US,Up,200,42,2,10,166,13,233,638011,104.18.17.112,-
66.165.253.194,October 10 2024 2:58:39 AM EDT,New York - US,Up,200,40,3,13,156,16,228,638011,104.18.16.112,-
104.236.114.81,October 10 2024 2:53:35 AM EDT,New York - US,Up,200,20,1,12,189,13,236,638011,104.18.17.112,-
172.96.165.98,October 10 2024 2:48:32 AM EDT,New York - US,Up,200,48,2,10,314,13,387,638011,104.18.16.112,-
66.165.251.146,October 10 2024 2:43:27 AM EDT,New York - US,Up,200,69,2,10,2004,13,2098,638011,104.18.17.112,-
207.244.103.237,October 10 2024 2:43:27 AM EDT,Virginia - US,Up,200,8,2,12,2019,16,2057,638011,104.18.17.112,-
159.203.37.151,October 10 2024 2:43:27 AM EDT,Toronto - CA,Up,200,63,1,11,2016,12,2103,638011,104.18.17.112,-
64.235.50.24,October 10 2024 2:43:27 AM EDT,Las Vegas - US,Up,200,23,8,42,2112,11,2196,638011,104.18.17.112,-
104.236.114.81,October 10 2024 2:38:22 AM EDT,New York - US,Up,200,18,1,12,251,16,298,638015,104.18.17.112,-
45.58.47.160,October 10 2024 2:33:20 AM EDT,New York - US,Up,200,92,3,13,172,16,297,638015,104.18.16.112,-
66.165.251.146,October 10 2024 2:28:15 AM EDT,New York - US,Up,200,68,3,17,168,14,270,638015,104.18.17.112,-
209.151.153.107,October 10 2024 2:23:13 AM EDT,New York - US,Up,200,9,1,12,249,14,286,638015,104.18.17.112,-
209.151.153.107,October 10 2024 2:18:07 AM EDT,New York - US,Up,200,9,1,9,253,12,285,638015,104.18.17.112,-
169.197.141.229,October 10 2024 2:12:57 AM EDT,New York - US,Up,200,17,1,9,184,13,224,638015,104.18.17.112,-
207.244.104.233,October 10 2024 2:12:57 AM EDT,Virginia - US,Up,200,9,1,14,168,19,212,638015,104.18.17.112,-
172.105.0.109,October 10 2024 2:12:57 AM EDT,Toronto - CA,Up,200,212,1,9,106,13,341,638015,104.18.16.112,-
64.235.50.24,October 10 2024 2:12:57 AM EDT,Las Vegas - US,Up,200,25,8,19,345,17,414,638015,104.18.16.112,-
66.165.233.146,October 10 2024 2:07:56 AM EDT,New York - US,Up,200,67,2,10,165,16,260,638015,104.18.16.112,-
209.151.153.107,October 10 2024 2:02:54 AM EDT,New York - US,Up,200,9,4,8,202,13,236,638015,104.18.16.112,-
198.211.100.169,October 10 2024 1:57:45 AM EDT,New York - US,Up,200,46,6,11,165,15,243,638015,104.18.17.112,-
198.211.100.169,October 10 2024 1:52:43 AM EDT,New York - US,Up,200,28,1,11,254,13,307,638015,104.18.17.112,-
169.197.141.229,October 10 2024 1:47:41 AM EDT,New York - US,Up,200,27,1,10,237,14,289,638015,104.18.16.112,-
104.236.16.22,October 10 2024 1:42:38 AM EDT,New York - US,Up,200,17,1,11,1748,13,1791,638015,104.18.17.112,-
174.129.225.90,October 10 2024 1:42:38 AM EDT,Virginia - US,Up,200,52,2,9,1722,15,1800,638015,104.18.17.112,-
134.195.196.243,October 10 2024 1:42:38 AM EDT,Toronto - CA,Up,200,47,0,15,1691,14,1768,638015,104.18.16.112,-
64.235.50.24,October 10 2024 1:42:38 AM EDT,Las Vegas - US,Up,200,24,11,21,1908,12,1976,638015,104.18.17.112,-
66.165.233.146,October 10 2024 1:37:34 AM EDT,New York - US,Up,200,54,2,12,181,13,262,638008,104.18.17.112,-
172.96.165.98,October 10 2024 1:32:31 AM EDT,New York - US,Up,200,16,1,12,362,14,405,638008,104.18.17.112,-
104.236.16.22,October 10 2024 1:27:20 AM EDT,New York - US,Up,200,33,15,24,175,24,273,638008,104.18.17.112,-
